dates,Close,SandP_Change
2/17/1961,62.099998,-0.00320
2/20/1961,62.32,0.00350
2/21/1961,62.360001,0.00060
2/23/1961,62.59,0.00370
2/24/1961,62.84,0.00400
2/27/1961,63.299999,0.00730
2/28/1961,63.439999,0.00220
3/1/1961,63.43,-0.00020
3/2/1961,63.849998,0.00660
3/3/1961,63.950001,0.00160
3/6/1961,64.050003,0.00160
3/7/1961,63.470001,-0.00910
3/8/1961,63.439999,-0.00050
3/9/1961,63.5,0.00090
3/10/1961,63.48,-0.00030
3/13/1961,63.66,0.00280
3/14/1961,63.380001,-0.00440
3/15/1961,63.57,0.00300
3/16/1961,64.209999,0.01010
3/17/1961,64,-0.00330
3/20/1961,64.860001,0.01340
3/21/1961,64.739998,-0.00190
3/22/1961,64.699997,-0.00060
3/23/1961,64.529999,-0.00260
3/24/1961,64.419998,-0.00170
3/27/1961,64.349998,-0.00110
3/28/1961,64.379997,0.00050
3/29/1961,64.93,0.00850
3/30/1961,65.059998,0.00200
4/3/1961,65.599998,0.00830
4/4/1961,65.660004,0.00090
4/5/1961,65.459999,-0.00300
4/6/1961,65.610001,0.00230
4/7/1961,65.959999,0.00530
4/10/1961,66.529999,0.00860
4/11/1961,66.620003,0.00140
4/12/1961,66.309998,-0.00470
4/13/1961,66.260002,-0.00080
4/14/1961,66.370003,0.00170
4/17/1961,68.68,0.03480
4/18/1961,66.199997,-0.03610
4/19/1961,65.809998,-0.00590
4/20/1961,65.82,0.00020
4/21/1961,65.769997,-0.00080
4/24/1961,64.400002,-0.02080
4/25/1961,65.300003,0.01400
4/26/1961,65.550003,0.00380
4/27/1961,65.459999,-0.00140
4/28/1961,65.309998,-0.00230
5/1/1961,65.169998,-0.00210
5/2/1961,65.639999,0.00720
5/3/1961,66.18,0.00820
5/4/1961,66.440002,0.00390
5/5/1961,66.519997,0.00120
5/8/1961,66.410004,-0.00170
5/9/1961,66.470001,0.00090
5/10/1961,66.410004,-0.00090
5/11/1961,66.389999,-0.00030
5/12/1961,66.5,0.00170
5/15/1961,66.830002,0.00500
5/16/1961,67.080002,0.00370
5/17/1961,67.389999,0.00460
5/18/1961,66.989998,-0.00590
5/19/1961,67.269997,0.00420
5/22/1961,66.849998,-0.00620
5/23/1961,66.68,-0.00250
5/24/1961,66.260002,-0.00630
5/25/1961,66.010002,-0.00380
5/26/1961,66.43,0.00640
5/31/1961,66.559998,0.00200
6/1/1961,66.559998,0.00000
6/2/1961,66.730003,0.00260
6/5/1961,67.080002,0.00520
6/6/1961,66.889999,-0.00280
6/7/1961,65.639999,-0.01870
6/8/1961,66.669998,0.01570
6/9/1961,66.660004,-0.00010
6/12/1961,66.150002,-0.00770
6/13/1961,65.800003,-0.00530
6/14/1961,65.980003,0.00270
6/15/1961,65.690002,-0.00440
6/16/1961,65.18,-0.00780
6/19/1961,64.580002,-0.00920
6/20/1961,65.150002,0.00880
6/21/1961,65.139999,-0.00020
6/22/1961,64.900002,-0.00370
6/23/1961,65.160004,0.00400
6/26/1961,64.470001,-0.01060
6/27/1961,64.470001,0.00000
6/28/1961,64.589996,0.00190
6/29/1961,64.519997,-0.00110
6/30/1961,64.639999,0.00190
