dates,Close,NASDAQ_Change
8/26/1987,455.299988,0.00040
8/27/1987,455.799988,0.00110
8/28/1987,453.299988,-0.00550
8/31/1987,455,0.00380
9/1/1987,452.5,-0.00550
9/2/1987,448.899994,-0.00800
9/3/1987,448.399994,-0.00110
9/4/1987,446.5,-0.00420
9/8/1987,437.600006,-0.01990
9/9/1987,439.200012,0.00370
9/10/1987,443.5,0.00980
9/11/1987,446.200012,0.00610
9/14/1987,445.5,-0.00160
9/15/1987,441.899994,-0.00810
9/16/1987,440.899994,-0.00230
9/17/1987,440.799988,-0.00020
9/18/1987,440.899994,0.00020
9/21/1987,436,-0.01110
9/22/1987,437.899994,0.00440
9/23/1987,440.700012,0.00640
9/24/1987,441.200012,0.00110
9/25/1987,441.899994,0.00160
9/28/1987,442.299988,0.00090
9/29/1987,442.200012,-0.00020
9/30/1987,444.299988,0.00470
10/1/1987,448.5,0.00950
10/2/1987,451.600006,0.00690
10/5/1987,453.600006,0.00440
10/6/1987,447.5,-0.01340
10/7/1987,444.600006,-0.00650
10/8/1987,440,-0.01030
10/9/1987,438.399994,-0.00360
10/12/1987,433,-0.01230
10/13/1987,434.799988,0.00420
10/14/1987,428.299988,-0.01490
10/15/1987,422.5,-0.01350
